"Ticker","Nome","Negócios","Última (R$)","Variação"
"CGRA4","Grazziotin","4.500","25,28","-0,59%"
"EPAR3","Embpar Participações","4.500","5,86","+0,17%"
"COCE5","Coelce","4.200","31,13","+0,97%"
"HOOT4","Hotéis Othon","4.200","2,25","+0,00%"
"CLSC4","Celesc","3.900","78,66","-0,43%"
"EMAE4","EMAE","3.600","40,67","-1,86%"
"BEES4","Banestes","3.500","9,60","+0,52%"
"ALPA3","Alpargatas","3.500","7,66","-0,26%"
"TRPL3","Transmissão Paulista","3.400","32,09","+0,56%"
"EQMA3B","Equatorial Maranhão","3.400","25,50","+0,00%"
"WHRL3","Whirlpool","3.300","4,37","-0,68%"
"CEBR3","CEB","2.900","19,27","+1,47%"
"CRPG5","Tronox Pigmentos","2.600","28,80","+0,88%"
"NUTR3","Nutriplant","2.600","4,87","+0,83%"
"CEBR6","CEB","2.300","17,96","+0,11%"
"TELB3","Telebras","2.300","14,75","+6,73%"
"FRIO3","Metalfrio","2.200","112,08","-14,63%"
"CEEB3","COELBA","2.100","39,11","-0,23%"
"EUCA3","Eucatex","2.100","17,50","+2,94%"
"HAGA3","Haga","2.100","2,37","+1,28%"
"BAZA3","Banco da Amazônia","2.000","96,90","+2,84%"
"ENMT4","Energisa MT","2.000","76,02","-7,27%"
"DOHL4","Döhler","2.000","4,38","+0,69%"
"BPAC3","Banco BTG Pactual","1.900","16,48","+0,73%"
"NEXP3","Brasil Brokers","1.900","4,00","+0,25%"
"MNPR3","Minupar","1.600","16,14","-0,25%"
"MTSA4","Metisa","1.400","44,47","+3,01%"
"UNIP5","Unipar","1.200","48,79","+0,81%"
"EKTR4","Elektro","1.100","42,75","-1,09%"
"BMIN4","Banco Mercantil de Investimentos","1.100","16,50","+3,12%"
"REDE3","Rede Energia","1.000","6,97","+1,60%"
"JOPA3","Josapar","800","22,00","+3,24%"
"CEBR5","CEB","800","16,70","+0,00%"
"RSUL4","Metalúrgica Riosulense","700","64,50","+1,08%"
"RDNI3","RNI","700","3,20","+2,24%"
"AZEV11","Azevedo & Travassos","700","0,47","-6,00%"
"PATI4","Panatlântica","600","44,90","+4,42%"
"PLAS3","Plascar","600","6,39","+6,50%"
"CGAS5","Comgás","500","123,00","-0,40%"
"WLMM3","WLM","500","28,80","+0,00%"
"BMKS3","Monark","402","331,00","+8,12%"
"WLMM4","WLM","400","35,50","-1,39%"
"GEPA4","Rio Paranapanema Energia","400","28,50","+3,64%"
"CEED3","CEEE D","400","13,99","+24,69%"
"CPLE5","Copel","400","11,87","+1,45%"
"PINE3","Banco Pine","400","5,47","+0,00%"
"DTCY3","Dtcom","400","4,70","+2,17%"
"COCE3","Coelce","300","31,15","-5,61%"
"OFSA3","Ourofino Saúde Animal","300","22,50","+0,00%"
"MNDL3","Mundial","300","14,50","+0,00%"
"BAUH4","Excelsior","200","79,87","+0,00%"
"PEAB3","Participações Aliança da Bahia","200","43,00","+1,85%"
"BGIP4","Banese","200","24,89","+2,43%"
"AFLT3","Afluente T","200","7,21","-2,44%"
"HETA4","Hercules","200","5,68","+0,00%"
"BIOM11","Biomm","200","0,37","+0,00%"
"BNBR3","Banco do Nordeste","100","108,69","+2,54%"
"CRPG6","Tronox Pigmentos","100","28,99","+1,72%"
"CGRA3","Grazziotin","100","25,50","+0,47%"
"CEDO4","Cedro Têxtil","100","24,99","+2,00%"
"BRKM6","Braskem","100","13,85","-0,36%"
"GSHP3","General Shopping & Outlets","100","10,50","-6,83%"
"BSLI3","Banco de Brasília","100","10,35","-0,48%"
"IGTI4","Jereissati Participações","100","9,92","+0,61%"
"IGTI4","Iguatemi","100","9,92","+0,61%"
"PINE11","Banco Pine","100","8,45","+8,33%"
"MAPT4","Cemepe","100","5,20","+4,00%"
"CTSA3","Santanense","100","2,72","+0,00%"
"BALM4","Baumer","2.700","10,60","-4,93%"
"NORD3","Nordon","1.700","10,90","-8,48%"
"APER3","Alper","1.100","46,75","+2,16%"
"ESTR4","Estrela","900","2,07","-5,91%"
"PTNT3","Pettenati","700","9,47","-0,21%"
"MRSA3B","MRS Logística","600","30,00","-7,69%"
"BRSR5","Banrisul","600","16,99","+6,19%"
"FIEI3","Fica","400","8,50","+5,46%"
"CLSC3","Celesc","300","75,50","-1,82%"
"BMEB3","Banco Mercantil do Brasil","300","36,00","+0,00%"
"CGAS3","Comgás","200","114,99","+5,50%"
"AHEB5","São Paulo Turismo","200","40,00","+0,00%"
"MRSA5B","MRS Logística","200","29,00","+0,00%"
"MRSA6B","MRS Logística","200","29,00","-7,94%"
"GEPA3","Rio Paranapanema Energia","200","26,50","+0,04%"
"LUXM4","Trevisa","200","13,46","+4,34%"
"BGIP3","Banese","100","24,87","-1,00%"
"BDLL3","Bardella","100","12,00","-7,76%"
"MGEL4","Mangels","100","11,10","+0,91%"
"USIM6","Usiminas","100","9,90","+0,00%"
"PSVM11","PORTO VM","100","5,72","+0,00%"
"CEEB5","COELBA","3.000","39,00","+0,00%"
"SNSY3","Sansuy","600","13,18","-0,83%"
"PEAB4","Participações Aliança da Bahia","500","48,50","+0,00%"
"FESA3","Ferbasa","400","13,50","-1,53%"
"RPAD3","Alfa Holdings","400","9,40","+4,44%"
"CBEE3","Ampla Energia","100","9,90","+1,02%"
"BDLL4","Bardella","400","9,40","+3,41%"
"BSLI4","Banco de Brasília","200","9,98","+0,50%"
"EMAE3","EMAE","100","68,45","-1,20%"
"LIPR3","Eletropar","100","47,50","+0,00%"
"HBTS5","Habitasul","100","38,90","+0,00%"
"MWET4","Wetzel","100","9,20","+0,00%"
"CSRN3","COSERN","3.300","13,60","+0,82%"
"ENMT3","Energisa MT","200","85,00","+1,20%"
